Record_id,id,Gender,Customer Type,Age,Age_group,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
25,82602,Female,disloyal Customer,30,Young,Business travel,Eco,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0.0,0
26,7823,Male,Loyal Customer,62,Old,Personal Travel,Eco,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0.0,0
27,127781,Male,Loyal Customer,24,Young,Business travel,Business,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0.0,1
28,34501,Female,Loyal Customer,22,Young,Business travel,Eco,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13.0,1
29,121658,Male,Loyal Customer,44,Mid,Business travel,Business,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0.0,1
30,20219,Male,Loyal Customer,51,Senior,Business travel,Eco,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0.0,0
31,67551,Male,Loyal Customer,43,Mid,Personal Travel,Business,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0.0,0
32,48994,Female,Loyal Customer,56,Senior,Business travel,Eco,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0.0,1
33,70811,Male,disloyal Customer,41,Mid,Business travel,Eco,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0.0,0
34,75241,Male,Loyal Customer,22,Young,Personal Travel,Eco,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68.0,0
35,12312,Female,Loyal Customer,53,Senior,Business travel,Eco,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1.0,1
36,48372,Male,Loyal Customer,12,Teen,Personal Travel,Eco,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70.0,0
37,51477,Female,Loyal Customer,39,Mid,Business travel,Business,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12.0,1
38,84204,Female,Loyal Customer,55,Senior,Business travel,Business,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68.0,1
39,70990,Female,disloyal Customer,32,Mid,Business travel,Business,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10.0,0
40,101991,Female,Loyal Customer,40,Mid,Personal Travel,Eco,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0.0,0
41,87447,Female,disloyal Customer,42,Mid,Business travel,Business,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0.0,0
42,16112,Male,disloyal Customer,24,Young,Business travel,Eco,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4.0,1
43,16172,Male,Loyal Customer,22,Young,Business travel,Business,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177.0,0
44,106558,Female,Loyal Customer,28,Young,Business travel,Business,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3.0,1
45,11536,Female,Loyal Customer,36,Mid,Business travel,Eco Plus,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55.0,0
46,47773,Female,Loyal Customer,62,Old,Business travel,Eco,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90.0,1
47,70521,Female,Loyal Customer,60,Senior,Business travel,Business,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0.0,1
48,96283,Female,Loyal Customer,59,Senior,Personal Travel,Eco,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2.0,0
49,117993,Female,Loyal Customer,49,Senior,Business travel,Business,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4.0,1
50,74703,Female,Loyal Customer,44,Mid,Personal Travel,Eco,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0.0,0
51,110840,Female,Loyal Customer,58,Senior,Personal Travel,Eco Plus,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0.0,0
52,88249,Male,disloyal Customer,24,Young,Business travel,Business,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32.0,1
53,125877,Female,Loyal Customer,53,Senior,Business travel,Eco,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0.0,1
54,83968,Male,Loyal Customer,56,Senior,Business travel,Eco,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0.0,0
55,122719,Female,Loyal Customer,30,Young,Business travel,Business,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0.0,1
56,3949,Male,disloyal Customer,27,Young,Business travel,Business,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46.0,0
57,45542,Male,Loyal Customer,27,Young,Business travel,Business,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0.0,1
58,43742,Female,Loyal Customer,67,Old,Personal Travel,Eco,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0.0,0
59,122093,Female,Loyal Customer,32,Mid,Personal Travel,Eco,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4.0,0
60,121454,Male,disloyal Customer,36,Mid,Business travel,Eco,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0.0,0
61,738,Male,Loyal Customer,44,Mid,Business travel,Business,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57.0,1
62,75235,Female,Loyal Customer,70,Old,Personal Travel,Eco,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0.0,0
63,88653,Female,Loyal Customer,55,Senior,Personal Travel,Eco,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3.0,0
64,26594,Male,Loyal Customer,66,Old,Business travel,Eco,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6.0,1
65,38339,Female,Loyal Customer,19,Young,Business travel,Business,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0.0,1
66,46063,Female,Loyal Customer,53,Senior,Personal Travel,Eco Plus,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0.0,0
67,27957,Male,Loyal Customer,22,Young,Business travel,Business,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0.0,0
68,17270,Female,Loyal Customer,69,Old,Personal Travel,Eco,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0.0,0
69,87976,Female,Loyal Customer,42,Mid,Business travel,Business,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47.0,1
70,31640,Female,Loyal Customer,41,Mid,Business travel,Business,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40.0,1
71,41461,Female,Loyal Customer,53,Senior,Personal Travel,Business,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0.0,0
72,15143,Male,Loyal Customer,35,Mid,Business travel,Business,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0.0,0
73,78136,Female,Loyal Customer,54,Senior,Personal Travel,Business,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0.0,0
74,120433,Male,Loyal Customer,44,Mid,Business travel,Business,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24.0,1
75,41440,Female,disloyal Customer,26,Young,Business travel,Eco Plus,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0.0,0
76,15963,Female,Loyal Customer,44,Mid,Personal Travel,Eco,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0.0,0
77,64303,Female,disloyal Customer,24,Young,Business travel,Eco,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27.0,0
78,3608,Female,Loyal Customer,54,Senior,Personal Travel,Eco,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0.0,0
79,7744,Male,Loyal Customer,42,Mid,Business travel,Eco Plus,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0.0,0
80,21276,Male,disloyal Customer,36,Mid,Business travel,Eco,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0.0,0
81,58576,Female,Loyal Customer,61,Old,Business travel,Business,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20.0,1
82,53888,Female,Loyal Customer,50,Senior,Personal Travel,Eco,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0.0,0
83,10980,Male,Loyal Customer,27,Young,Business travel,Business,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52.0,1
84,54151,Male,Loyal Customer,55,Senior,Business travel,Business,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0.0,0
85,115641,Male,disloyal Customer,21,Young,Business travel,Eco,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0.0,0
86,58584,Female,Loyal Customer,31,Mid,Personal Travel,Business,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0.0,0
87,50472,Female,disloyal Customer,37,Mid,Business travel,Eco,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20.0,0
88,102623,Female,Loyal Customer,50,Senior,Business travel,Business,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0.0,1
89,31533,Female,Loyal Customer,21,Young,Personal Travel,Eco,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17.0,0
90,42287,Female,Loyal Customer,53,Senior,Business travel,Eco,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0.0,0
91,70467,Male,Loyal Customer,45,Mid,Business travel,Business,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11.0,1
92,20461,Female,disloyal Customer,42,Mid,Business travel,Eco,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34.0,0
93,113346,Male,Loyal Customer,59,Senior,Business travel,Business,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0.0,1
94,115566,Female,Loyal Customer,54,Senior,Business travel,Eco,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95.0,0
95,119896,Female,Loyal Customer,46,Senior,Business travel,Business,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0.0,1
96,88853,Female,Loyal Customer,52,Senior,Personal Travel,Eco Plus,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0.0,0
97,24895,Female,Loyal Customer,38,Mid,Personal Travel,Eco,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0.0,0
98,31122,Male,Loyal Customer,35,Mid,Business travel,Business,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0.0,1
99,91231,Female,Loyal Customer,41,Mid,Personal Travel,Eco,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0.0,0
100,61426,Female,disloyal Customer,40,Mid,Business travel,Business,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0.0,0
101,68873,Female,disloyal Customer,36,Mid,Business travel,Eco,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0.0,0
102,125701,Male,Loyal Customer,67,Old,Personal Travel,Eco,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0.0,0
103,94999,Female,Loyal Customer,38,Mid,Personal Travel,Eco,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0.0,1
104,56694,Female,Loyal Customer,50,Senior,Personal Travel,Eco,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0.0,0
105,62010,Male,Loyal Customer,50,Senior,Business travel,Business,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0.0,1
106,95868,Male,Loyal Customer,54,Senior,Business travel,Business,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66.0,1
107,123064,Male,Loyal Customer,56,Senior,Business travel,Business,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113.0,1
108,103418,Male,Loyal Customer,38,Mid,Personal Travel,Eco,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2.0,0
109,73456,Female,Loyal Customer,7,Teen,Personal Travel,Eco,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13.0,0
110,8851,Female,Loyal Customer,32,Mid,Business travel,Business,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0.0,1
111,64241,Male,Loyal Customer,45,Mid,Business travel,Eco,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7.0,0
112,81723,Male,disloyal Customer,25,Young,Business travel,Eco,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24.0,0
113,88237,Female,Loyal Customer,45,Mid,Business travel,Business,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0.0,1
114,50619,Male,Loyal Customer,34,Mid,Personal Travel,Eco,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0.0,0
115,54444,Male,Loyal Customer,20,Young,Personal Travel,Eco Plus,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2.0,0
116,64765,Female,disloyal Customer,36,Mid,Business travel,Eco,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6.0,0
117,15941,Male,disloyal Customer,36,Mid,Business travel,Eco,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0.0,0
118,14965,Male,Loyal Customer,27,Young,Business travel,Business,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0.0,1
119,36897,Male,Loyal Customer,40,Mid,Personal Travel,Eco,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0.0,0
120,127954,Male,Loyal Customer,31,Mid,Business travel,Business,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4.0,1
121,27872,Male,Loyal Customer,25,Young,Business travel,Eco Plus,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0.0,1
122,35854,Male,Loyal Customer,42,Mid,Business travel,Business,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0.0,1
123,14527,Female,Loyal Customer,45,Mid,Business travel,Eco,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40.0,1
124,47021,Male,Loyal Customer,59,Senior,Personal Travel,Business,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11.0,0
125,11224,Male,Loyal Customer,34,Mid,Personal Travel,Eco,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8.0,0
126,3921,Female,Loyal Customer,22,Young,Personal Travel,Eco,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17.0,0
127,69463,Male,Loyal Customer,21,Young,Personal Travel,Eco,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0.0,0
128,47050,Male,Loyal Customer,26,Young,Business travel,Business,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10.0,0
129,21970,Male,Loyal Customer,37,Mid,Business travel,Business,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86.0,1
130,30046,Male,Loyal Customer,38,Mid,Business travel,Business,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0.0,1
131,1256,Female,Loyal Customer,17,Teen,Personal Travel,Eco,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0.0,0
132,73813,Male,Loyal Customer,15,Teen,Personal Travel,Eco Plus,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8.0,0
133,110928,Female,Loyal Customer,53,Senior,Personal Travel,Eco,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0.0,0
134,102981,Male,disloyal Customer,39,Mid,Business travel,Business,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88.0,0
135,61571,Male,Loyal Customer,40,Mid,Business travel,Business,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0.0,1
136,3796,Female,disloyal Customer,28,Young,Business travel,Eco Plus,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46.0,0
137,73906,Female,disloyal Customer,27,Young,Business travel,Business,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0.0,0
138,74090,Female,Loyal Customer,41,Mid,Business travel,Business,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0.0,1
139,76645,Female,Loyal Customer,7,Teen,Personal Travel,Eco,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0.0,0
140,100462,Male,disloyal Customer,48,Senior,Business travel,Business,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1.0,0
141,54164,Male,Loyal Customer,13,Teen,Business travel,Eco,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0.0,0
142,6147,Female,Loyal Customer,48,Senior,Business travel,Business,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0.0,1
143,1262,Female,Loyal Customer,49,Senior,Personal Travel,Eco,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3.0,0
144,20310,Male,disloyal Customer,26,Young,Business travel,Business,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0.0,1
145,46896,Male,Loyal Customer,22,Young,Business travel,Business,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0.0,1
146,7237,Female,Loyal Customer,53,Senior,Business travel,Business,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178.0,0
147,44293,Female,Loyal Customer,43,Mid,Business travel,Eco,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0.0,1
148,52496,Male,Loyal Customer,56,Senior,Business travel,Business,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0.0,1
149,68263,Female,Loyal Customer,69,Old,Personal Travel,Eco,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0.0,0
150,5289,Male,Loyal Customer,59,Senior,Personal Travel,Eco,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0.0,1
151,109359,Female,Loyal Customer,56,Senior,Business travel,Business,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0.0,1
152,94988,Male,Loyal Customer,11,Teen,Personal Travel,Eco,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0.0,1
153,53605,Female,Loyal Customer,25,Young,Business travel,Eco,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78.0,1
154,11005,Female,disloyal Customer,29,Young,Business travel,Eco,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0.0,1
155,14794,Female,Loyal Customer,48,Senior,Business travel,Eco,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0.0,1
156,49480,Female,Loyal Customer,42,Mid,Business travel,Business,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0.0,1
157,120440,Male,disloyal Customer,15,Teen,Business travel,Eco,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0.0,0
158,55823,Female,disloyal Customer,49,Senior,Business travel,Business,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0.0,0
159,107792,Male,Loyal Customer,41,Mid,Business travel,Business,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18.0,1
160,80531,Male,Loyal Customer,43,Mid,Business travel,Business,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0.0,1
161,128145,Male,Loyal Customer,60,Senior,Business travel,Business,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0.0,1
162,63370,Female,Loyal Customer,42,Mid,Personal Travel,Eco,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0.0,1
163,12452,Female,Loyal Customer,8,Teen,Personal Travel,Eco,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0.0,0
164,16145,Female,Loyal Customer,42,Mid,Business travel,Eco,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72.0,1
165,44418,Male,disloyal Customer,18,Teen,Business travel,Eco Plus,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41.0,0
166,95746,Male,Loyal Customer,47,Senior,Business travel,Business,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0.0,1
167,41134,Female,disloyal Customer,27,Young,Business travel,Eco,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12.0,0
168,3214,Female,Loyal Customer,67,Old,Personal Travel,Eco Plus,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91.0,0
169,74101,Male,disloyal Customer,38,Mid,Business travel,Business,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0.0,1
170,106220,Female,disloyal Customer,20,Young,Business travel,Eco,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0.0,0
171,88134,Female,Loyal Customer,60,Senior,Business travel,Business,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0.0,1
172,64475,Male,disloyal Customer,23,Young,Business travel,Business,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1.0,1
173,123812,Male,disloyal Customer,25,Young,Business travel,Business,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0.0,0
174,88893,Female,Loyal Customer,38,Mid,Business travel,Business,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0.0,1
175,31244,Female,Loyal Customer,40,Mid,Business travel,Business,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4.0,1
176,97762,Male,Loyal Customer,19,Young,Personal Travel,Eco,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0.0,0
177,59851,Female,Loyal Customer,61,Old,Business travel,Business,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0.0,1
178,25137,Male,Loyal Customer,44,Mid,Personal Travel,Eco,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6.0,0
179,18412,Female,Loyal Customer,22,Young,Personal Travel,Eco,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35.0,0
180,87192,Female,disloyal Customer,8,Teen,Business travel,Eco,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0.0,0
181,127062,Female,Loyal Customer,45,Mid,Business travel,Business,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16.0,0
182,112169,Male,Loyal Customer,46,Senior,Personal Travel,Eco,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25.0,1
183,127798,Female,Loyal Customer,54,Senior,Business travel,Business,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77.0,0
184,91778,Male,Loyal Customer,62,Old,Personal Travel,Eco,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0.0,0
185,42609,Female,Loyal Customer,25,Young,Business travel,Business,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0.0,1
186,67482,Female,Loyal Customer,32,Mid,Personal Travel,Eco,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0.0,0
187,91108,Female,Loyal Customer,65,Old,Personal Travel,Eco,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3.0,0
188,102318,Male,disloyal Customer,40,Mid,Business travel,Business,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0.0,0
189,51281,Female,Loyal Customer,30,Young,Business travel,Eco Plus,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0.0,1
190,6528,Female,Loyal Customer,67,Old,Personal Travel,Eco,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0.0,0
191,121232,Male,Loyal Customer,51,Senior,Business travel,Business,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0.0,1
192,72478,Female,Loyal Customer,47,Senior,Business travel,Business,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3.0,1
193,122788,Female,Loyal Customer,38,Mid,Business travel,Eco,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0.0,0
194,5528,Male,Loyal Customer,54,Senior,Business travel,Business,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0.0,1
195,107726,Female,Loyal Customer,57,Senior,Personal Travel,Eco,251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4.0,0
196,72606,Male,Loyal Customer,13,Teen,Personal Travel,Eco,1119,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,0.0,0
